Date,True_Price
2025-02-04,383.3500061035156
2025-02-05,397.75
2025-02-06,403.95001220703125
2025-02-07,404.3500061035156
2025-02-08,404.3500061035156
2025-02-09,404.3500061035156
2025-02-10,429.04998779296875
2025-02-11,413.45001220703125
2025-02-12,431.79998779296875
2025-02-13,438.8999938964844
2025-02-14,419.75
2025-02-15,419.75
2025-02-16,419.75
2025-02-17,419.75
2025-02-18,419.0
2025-02-19,417.8999938964844
2025-02-20,395.75
2025-02-21,400.0
2025-02-22,400.0
2025-02-23,400.0
2025-02-24,393.79998779296875
2025-02-25,380.5
2025-02-26,379.45001220703125
2025-02-27,378.75
2025-02-28,379.04998779296875
2025-03-01,379.0499877929688
2025-03-02,379.0499877929688
2025-03-03,392.70001220703125
2025-03-04,403.75
2025-03-05,415.5
2025-03-06,393.0
2025-03-07,390.20001220703125
2025-03-08,390.2000122070313
2025-03-09,390.2000122070313
2025-03-10,389.3500061035156
2025-03-11,399.45001220703125
2025-03-12,392.20001220703125
2025-03-13,390.6000061035156
2025-03-14,382.1000061035156
2025-03-15,382.1000061035156
2025-03-16,382.1000061035156
2025-03-17,389.3500061035156
2025-03-18,387.1499938964844
2025-03-19,394.6000061035156
2025-03-20,392.1499938964844
2025-03-21,391.3999938964844
2025-03-22,391.3999938964844
2025-03-23,391.3999938964844
2025-03-24,393.3999938964844
2025-03-25,398.54998779296875
2025-03-26,392.0
2025-03-27,378.79998779296875
2025-03-28,379.95001220703125
2025-03-29,379.9500122070313
2025-03-30,379.9500122070313
2025-03-31,379.75
2025-04-01,389.04998779296875
2025-04-02,388.8500061035156
2025-04-03,385.25
2025-04-04,365.70001220703125
2025-04-05,365.7000122070313
2025-04-06,365.7000122070313
2025-04-07,344.79998779296875
2025-04-08,342.8999938964844
2025-04-09,341.70001220703125
2025-04-10,342.8500061035156
2025-04-11,357.70001220703125
2025-04-12,357.70001220703125
2025-04-13,357.70001220703125
2025-04-14,360.3999938964844
2025-04-15,369.3999938964844
2025-04-16,376.04998779296875
2025-04-17,375.5
2025-04-18,375.5
2025-04-19,375.5
2025-04-20,375.5
2025-04-21,366.79998779296875
2025-04-22,377.6499938964844
2025-04-23,392.3999938964844
2025-04-24,408.0
2025-04-25,408.25
2025-04-26,408.25
2025-04-27,408.25
2025-04-28,421.54998779296875
2025-04-29,412.6499938964844
2025-04-30,413.6000061035156
2025-05-01,395.70001220703125
2025-05-02,395.3999938964844
2025-05-03,395.3999938964844
2025-05-04,395.3999938964844
2025-05-05,398.95001220703125
2025-05-06,401.1000061035156
2025-05-07,396.20001220703125
2025-05-08,397.79998779296875
2025-05-09,397.1499938964844
2025-05-10,397.1499938964844
2025-05-11,397.1499938964844
2025-05-12,382.45001220703125
2025-05-13,384.8500061035156
2025-05-14,373.95001220703125
2025-05-15,365.75
