Date,Coffee_Price,Coffee_Price_Return
2015-01-02,161.0500030517578,0.0
2015-01-03,161.0500030517578,0.0
2015-01-04,161.0500030517578,0.0
2015-01-05,168.10000610351562,0.0437752432050069
2015-01-06,174.89999389648438,0.0404520377517496
2015-01-07,175.0500030517578,0.0008576853087955
2015-01-08,176.89999389648438,0.0105683565408425
2015-01-09,180.0500030517578,0.0178067228036011
2015-01-10,180.0500030517578,0.0178067228036011
2015-01-11,180.0500030517578,0.0178067228036011
2015-01-12,176.75,-0.0183282587938039
2015-01-13,176.9499969482422,0.0011315244596445
2015-01-14,179.85000610351562,0.0163888624203913
2015-01-15,176.64999389648438,-0.017792672218145
2015-01-16,171.0,-0.0319841160016978
2015-01-17,171.0,-0.0319841160016978
2015-01-18,171.0,-0.0319841160016978
2015-01-19,171.0,0.0
2015-01-20,164.3000030517578,-0.0391812687031707
2015-01-21,161.25,-0.0185636213944377
2015-01-22,159.9499969482422,-0.0080620344295058
2015-01-23,162.4499969482422,0.0156298846370654
2015-01-24,162.4499969482422,0.0156298846370654
2015-01-25,162.4499969482422,0.0156298846370654
2015-01-26,161.85000610351562,-0.0036933878485557
2015-01-27,168.1999969482422,0.0392338004650136
2015-01-28,167.6999969482422,-0.0029726516591664
2015-01-29,160.0,-0.0459153076229253
2015-01-30,161.89999389648438,0.0118749618530273
2015-01-31,161.89999389648438,0.0118749618530273
2015-02-01,161.89999389648438,0.0118749618530273
2015-02-02,162.4499969482422,0.0033971777176808
2015-02-03,160.75,-0.0104647397979564
2015-02-04,164.89999389648438,0.0258164472565123
2015-02-05,164.75,-0.0009096052276298
2015-02-06,166.85000610351562,0.0127466227830994
2015-02-07,166.85000610351562,0.0127466227830994
2015-02-08,166.85000610351562,0.0127466227830994
2015-02-09,167.60000610351562,0.0044950552745841
2015-02-10,159.39999389648438,-0.0489260853723754
2015-02-11,159.4499969482422,0.0003136954433655
2015-02-12,164.5500030517578,0.0319849871503672
2015-02-13,163.1999969482422,-0.0082042301943379
2015-02-14,163.1999969482422,-0.0082042301943379
2015-02-15,163.1999969482422,-0.0082042301943379
2015-02-16,163.1999969482422,0.0
2015-02-17,155.64999389648438,-0.0462622744665384
2015-02-18,152.8000030517578,-0.0183102534949147
2015-02-19,149.1999969482422,-0.0235602488980068
2015-02-20,148.64999389648438,-0.0036863476072899
2015-02-21,148.64999389648438,-0.0036863476072899
2015-02-22,148.64999389648438,-0.0036863476072899
2015-02-23,144.4499969482422,-0.028254269227666
2015-02-24,145.35000610351562,0.0062305931068722
2015-02-25,139.75,-0.0385277321524665
2015-02-26,136.5500030517578,-0.0228980103630925
2015-02-27,136.75,0.0014646425761439
2015-02-28,136.75,0.0014646425761439
2015-03-01,136.75,0.0014646425761439
2015-03-02,135.10000610351562,-0.012065768895681
2015-03-03,126.25,-0.0655070740465741
2015-03-04,134.0500030517578,0.0617822023901608
2015-03-05,131.5500030517578,-0.0186497571285748
2015-03-06,136.5,0.037628254149828
2015-03-07,136.5,0.037628254149828
2015-03-08,136.5,0.037628254149828
2015-03-09,133.64999389648438,-0.0208791655935211
2015-03-10,131.6999969482422,-0.0145903257560379
2015-03-11,128.39999389648438,-0.0250569713608627
2015-03-12,128.85000610351562,0.0035047681341329
2015-03-13,126.4499969482422,-0.0186263798338147
2015-03-14,126.4499969482422,-0.0186263798338147
2015-03-15,126.4499969482422,-0.0186263798338147
2015-03-16,134.89999389648438,0.0668248094280372
2015-03-17,133.9499969482422,-0.0070422312173799
2015-03-18,136.25,0.0171706092135748
2015-03-19,140.0,0.0275229357798165
2015-03-20,143.35000610351562,0.0239286150251116
2015-03-21,143.35000610351562,0.0239286150251116
2015-03-22,143.35000610351562,0.0239286150251116
2015-03-23,141.85000610351562,-0.0104638991010354
2015-03-24,137.3000030517578,-0.0320761568979942
2015-03-25,139.9499969482422,0.01930075628247
2015-03-26,140.25,0.0021436445752032
2015-03-27,138.1999969482422,-0.0146167775526403
2015-03-28,138.1999969482422,-0.0146167775526403
2015-03-29,138.1999969482422,0.0
2015-03-30,132.35000610351562,-0.0423298912728447
2015-03-31,132.89999389648438,0.0041555554786947
2015-04-01,134.85000610351562,0.0146727787553557
2015-04-02,140.89999389648438,0.0448645718882991
2015-04-03,140.89999389648438,0.0448645718882991
2015-04-04,140.89999389648438,0.0448645718882991
2015-04-05,140.89999389648438,0.0
2015-04-06,146.1999969482422,0.0376153533097496
2015-04-07,141.9499969482422,-0.0290697680486586
2015-04-08,135.6999969482422,-0.0440295888296417
2015-04-09,137.4499969482422,0.0128960946157388
2015-04-10,135.10000610351562,-0.0170970599992917
2015-04-11,135.10000610351562,-0.0170970599992917
2015-04-12,135.10000610351562,0.0
2015-04-13,133.75,-0.0099926428018162
2015-04-14,134.60000610351562,0.0063551858206776
2015-04-15,135.8000030517578,0.0089152815291799
2015-04-16,139.60000610351562,0.0279823487950108
2015-04-17,138.6999969482422,-0.0064470567043246
2015-04-18,138.6999969482422,-0.0064470567043246
2015-04-19,138.6999969482422,0.0
2015-04-20,138.6999969482422,0.0
2015-04-21,140.3000030517578,0.0115357327953848
2015-04-22,142.39999389648438,0.0149678602925751
2015-04-23,140.4499969482422,-0.0136937993807759
2015-04-24,141.14999389648438,0.0049839584439446
2015-04-25,141.14999389648438,0.0049839584439446
2015-04-26,141.14999389648438,0.0
2015-04-27,136.10000610351562,-0.035777456686766
2015-04-28,138.14999389648438,0.0150623637107669
2015-04-29,138.35000610351562,0.0014477901981024
2015-04-30,136.5500030517578,-0.0130105021492447
