date,title,url,is_price_related,preprocessed_title,positive_sentiment,negative_sentiment,neutral_sentiment,rise_present,increase_present,jump_present,surge_present,climb_present,fall_present,drop_present,decrease_present,decline_present,plunge_present,weighted_positive_sentiment,weighted_negative_sentiment,predicted_price_direction
2025-03-13,Trust Coffee Co. Bonds Cafe with Cocktails Outside of Cleveland,https://dailycoffeenews.com/2025/03/13/trust-coffee-co-bonds-cafe-with-cocktails-outside-of-cleveland/,True,trust coffee co bonds cafe cocktails outside cleveland,0.32,0.0,0.68,0,0,0,0,0,0,0,0,0,0,0.32,0.0,neutral
2025-03-11,B2B Specialist Farmer Brothers Launches Sum>One Coffee Brand,https://dailycoffeenews.com/2025/03/11/b2b-specialist-farmer-brothers-launches-sumone-coffee-brand/,True,b2b specialist farmer brothers launches sumone coffee brand,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-11,"Celtic Cup Coffee Brews Pots of Gold in Silver Spring, Maryland",https://dailycoffeenews.com/2025/03/11/celtic-cup-coffee-brews-pots-of-gold-in-silver-spring-maryland/,True,celtic cup coffee brews pots gold silver spring maryland,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-10,New Jersey Co-Roasting Business Gridworks Takes Guesswork Out of Coffee,https://dailycoffeenews.com/2025/03/10/new-jersey-co-roasting-business-gridworks-takes-guesswork-out-of-coffee/,True,new jersey coroasting business gridworks takes guesswork coffee,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-10,Dupont Coffee Collective Brings Continuity and Craft to DC,https://dailycoffeenews.com/2025/03/10/dupont-coffee-collective-brings-continuity-and-craft-to-dc/,True,dupont coffee collective brings continuity craft dc,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-07,Weekly Coffee News: The Wizard Steamer + Biochar in Colombia,https://dailycoffeenews.com/2025/03/07/weekly-coffee-news-the-wizard-steamer-biochar-in-colombia/,True,weekly coffee news wizard steamer biochar colombia,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-06,Brazilian Coffee Traders Atlantica and Cafebras File for Bankruptcy,https://dailycoffeenews.com/2025/03/06/brazilian-coffee-traders-atlantica-and-cafebras-file-for-bankruptcy/,True,brazilian coffee traders atlantica cafebras file bankruptcy,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-06,Sneaks Coffee + Lounge Steps Up In Houston,https://dailycoffeenews.com/2025/03/06/sneaks-coffee-lounge-steps-up-in-houston/,True,sneaks coffee lounge steps houston,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-06,Coffee Shop Software Provider Odeko Nears $300 Million in Funding,https://dailycoffeenews.com/2025/03/06/coffee-shop-software-provider-odeko-nears-300-million-in-funding/,True,coffee shop software provider odeko nears 300 million funding,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-04,Save the Date for Roast Magazine’s Inaugural Portland Coffee Festival,https://dailycoffeenews.com/2025/03/04/save-the-date-for-roast-magazines-inaugural-portland-coffee-festival/,True,save date roast magazines inaugural portland coffee festival,0.516,0.0,0.484,0,0,0,0,0,0,0,0,0,0,0.516,0.0,neutral
2025-03-04,Sur La Table Acquires Coffee Equipment Specialist Seattle Coffee Gear,https://dailycoffeenews.com/2025/03/04/sur-la-table-acquires-coffee-equipment-specialist-seattle-coffee-gear/,True,sur la table acquires coffee equipment specialist seattle coffee gear,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-04,Caribou Coffee CEO John Butcher Stepping Down After Five Years,https://dailycoffeenews.com/2025/03/04/caribou-coffee-ceo-john-butcher-stepping-down-after-five-years/,True,caribou coffee ceo john butcher stepping five years,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
